stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
BUGAT_01,71A,48.589433942,7.6878238473,Bugatti,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BUGAT_02,71B,48.5894766821,7.6886292423,Bugatti,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BUSSI_01,72A,48.6212662235,7.7979148887,Bussière,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BUSSI_02,72B,48.6211135043,7.7973443622,Bussière,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAHAU_01,74A,48.5961357507,7.7881576971,Carpe Haute,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAHAU_02,74B,48.5960288145,7.7879685536,Carpe Haute,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAILL_03,75B,48.5292993959,7.7327266976,Campus d'Illkirch,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAILL_04,75C,48.5295250253,7.7329365546,Campus d'Illkirch,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAILL_06,75A,48.5291822924,7.7328411689,Campus d'Illkirch,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAILL_09,75A,48.5291822924,7.7328411689,Campus d'Illkirch,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAILL_14,75I,48.529486809,7.7330583175,Campus d'Illkirch,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAMPI_01,36A,48.5732999495,7.7182921394,Camping,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAMPI_02,36B,48.5733185672,7.7192886599,Camping,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CANAL_01,76A,48.6782203735,7.6981618206,Canal,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CANAL_02,76B,48.6783296768,7.6974626074,Canal,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAPIE_01,751A,48.5765024439,7.7878134069,Capitainerie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAPIE_02,751B,48.5766617007,7.7876932025,Capitainerie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAPUC_01,79A,48.5780342583,7.704827128,Capucins,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAPUC_02,79B,48.5780339191,7.7048264582,Capucins,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CATHE_01,80A,48.5968987494,7.7056843376,Catherine,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CATHE_02,80B,48.5966271688,7.7060036057,Catherine,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CERIS_01,81A,48.5347665091,7.6429162716,Cerisiers,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CERIS_02,81B,48.5345002759,7.64257588,Cerisiers,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CERVA_01,730A,48.5931109263,7.6984897686,Cervantès,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CERVA_02,730B,48.5932714278,7.69889035,Cervantès,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CESPO_01,82A,48.4912481356,7.6837997383,Centre Sportif,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CESPO_02,82B,48.4912673133,7.6841779212,Centre Sportif,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CETRA_01,83A,48.5375075478,7.7282292701,Centre de Traumatologie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
